2023-08-14 05:26:22,644 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-14 05:26:22,659 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Configure stats pid to 15856
2023-08-14 05:26:22,659 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Loading settings from C:\Users\USER\.config\wandb\settings
2023-08-14 05:26:22,659 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Loading settings from C:\Users\USER\Playlist_Generator\sentence_transformer\wandb\settings
2023-08-14 05:26:22,659 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-08-14 05:26:22,659 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sentence_transformer\\playlist_generator.py', 'program': 'C:\\Users\\USER\\Playlist_Generator\\sentence_transformer\\playlist_generator.py'}
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\USER\Playlist_Generator\sentence_transformer\wandb\run-20230814_052622-b17s5rc9\logs\debug.log
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\USER\Playlist_Generator\sentence_transformer\wandb\run-20230814_052622-b17s5rc9\logs\debug-internal.log
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:init():547] calling init triggers
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:init():596] starting backend
2023-08-14 05:26:22,691 INFO    MainThread:15856 [wandb_init.py:init():600] setting up manager
2023-08-14 05:26:22,706 INFO    MainThread:15856 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-08-14 05:26:22,722 INFO    MainThread:15856 [wandb_init.py:init():606] backend started and connected
2023-08-14 05:26:22,738 INFO    MainThread:15856 [wandb_init.py:init():697] updated telemetry
2023-08-14 05:26:22,816 INFO    MainThread:15856 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-14 05:26:23,488 INFO    MainThread:15856 [wandb_run.py:_on_init():2180] communicating current version
2023-08-14 05:26:24,098 INFO    MainThread:15856 [wandb_run.py:_on_init():2189] got version response 
2023-08-14 05:26:24,098 INFO    MainThread:15856 [wandb_init.py:init():781] starting run threads in backend
2023-08-14 05:26:24,957 INFO    MainThread:15856 [wandb_run.py:_console_start():2159] atexit reg
2023-08-14 05:26:24,957 INFO    MainThread:15856 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-14 05:26:24,957 INFO    MainThread:15856 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-14 05:26:24,957 INFO    MainThread:15856 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-14 05:26:24,957 INFO    MainThread:15856 [wandb_init.py:init():822] run started, returning control to user process
2023-08-14 05:26:32,331 INFO    MainThread:15856 [wandb_run.py:_finish():1894] finishing run damilojohn/Playlist-Generator-Sentence-Transformer/b17s5rc9
2023-08-14 05:26:32,331 INFO    MainThread:15856 [wandb_run.py:_atexit_cleanup():2128] got exitcode: 0
2023-08-14 05:26:32,331 INFO    MainThread:15856 [wandb_run.py:_restore():2111] restore
2023-08-14 05:26:32,331 INFO    MainThread:15856 [wandb_run.py:_restore():2117] restore done
2023-08-14 05:26:37,098 INFO    MainThread:15856 [wandb_run.py:_footer_history_summary_info():3481] rendering history
2023-08-14 05:26:37,098 INFO    MainThread:15856 [wandb_run.py:_footer_history_summary_info():3513] rendering summary
2023-08-14 05:26:37,113 INFO    MainThread:15856 [wandb_run.py:_footer_sync_info():3440] logging synced files
