,id,album,artist,song_name,image,url,for_lyrics
0,3tVQdUvClmAT7URs9V3rsp,"More Love, Less Ego",Wizkid,2 Sugar (feat. Ayra Starr),https://i.scdn.co/image/ab67616d0000b273e944c571fca9ea470ebb5821,https://open.spotify.com/track/1DA2ADZs6O28y2rmdmpekw,"[Verse 1: Ayra Starr]
Got a bag full of feelings
And a house full of regrets
This baggages can't fit in no plane, don't mean to digress, hmm
I wanna know what's the reason why you moving slow?
As you move no dey cross my lane

[Chorus: Ayra Starr]
Shori nonsense, ma gbe sunmomi
Ma gbe sunmomi
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi
I dey fight my own demons, don't you see?
Don't know, don't you see?
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi

[Verse 2: Wizkid]
Oya mami jo, jogo, jogodo, mami go
And I no fit lie for you, mami, oh, yo
Go low, ko pami oh
And me no dey love when dem try me, oh
Say my kind life no dey funny, oh
Many things I've seen fit don pami oh
Big money man, nothing tiny, oh
And me no dey take to the gossips

[Pre-Chorus: Wizkid]
Man, I fight my own demons, yeah
Keep the bad energy gone, yeah
Play with no time when you see us, yeah
We got the right energy on, yeah
Burst to the rhythm, nothing wrong, yeah
We dey fly with the ting on, yeah
And who no dey grind, no dey belong, yeah
Bad energy no come my side

[Chorus: Ayra Starr]
Shori nonsense ma, gbe sunmomi
Ma gbe sunmomi
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi
I dey fight my own demons, don't you see?
Don't know, don't you see?
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi

You might also like
[Verse 3: Wizkid]
If you live this kind life I dey live, you go know
Man dey live I no send no person
Say me I no send no man
I dey live my life on the low and e dey show
Steady bankrolls

[Pre-Chorus: Wizkid]
Man, I fight my own demons, yeah
Keep the bad energy gone, yeah
Play with no time when you see us, yeah
We got the right energy on, yeah
Burst to the rhythm, nothing wrong, yeah
We dey fly with the ting on, yeah
And who no dey grind, no dey belong, yeah
Bad energy no come my side

[Chorus: Ayra Starr]
Shori nonsense, ma gbe sunmomi
Ma gbe sunmomi
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi
I dey fight my own demons, don't you see?
Don't know, don't you see?
If you getti problem, ma gbe sunmomi
Ma gbe sunmomi
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song parts like [Verse], [Chorus], etc.
Use italics (<i>lyric</i>) and bold (<b>lyric</b>) to distinguish between different vocalists in the same song part
If you don’t understand a lyric, use [?]
To learn more, check out our transcription guide or visit our transcribers forum
About
Have the inside scoop on this song?
Sign up and drop some knowledge
Start the song bio
Ask us a question about this song
Ask a question *‌
More Love, Less Ego (2022)
Wizkid
1.
Money & Love
2.
Balance
3.
Bad To Me
4.
2 Sugar
5.
Everyday
6.
Slip N Slide
7.
Deep
8.
Flower Pads
9.
"
1,3tVQdUvClmAT7URs9V3rsp,Made In Lagos,Wizkid,Essence (feat. Tems),https://i.scdn.co/image/ab67616d00001e02e944c571fca9ea470ebb5821,https://open.spotify.com/track/5FG7Tl93LdH117jEKYl3Cm,"[Intro: Wizkid]
Oh-na-na, omo je ka shi ge ge, woah
Oh-na-na, omo ge wa j'ogede
Oh-na-na, girl, I no go let you go
Oh-na-na, omo je ka shi ge ge, woah

[Verse 1: Tems]
Say I wanna leave you in the mornin', but I need you now, yeah, yeah
I find you, I give you all you're needing, I know you what you like
I feel it comin', time is of the essence
I tried to teach you, but I need some lessons
I need to give it all, I tried to leave, but I can't
I don't know why you're the one, turn me out of my mind

[Chorus: Tems]
You don't need no other body
You don't need no other body
Only you fi hold my body
Only you fi hold my body
You don't need no other body

[Verse 2: Wizkid]
Say na me dey mess up your mind
And na me dey make you free up your mind
Say your body talk to me nice
Say na my love, you dey need for your life
Yeah our love no be lie
See yeah we dey together yeah day and night
Yeah if I leave you go kpai
Yeah if you leave I go kpai (Oh, oh woah)
I'm stroking your body, baby, loving your body, baby
As you're whinin' your body, baby, so crazy
Lovin' your body, baby, gyal iwo ni temi
I just wanna let you know, oh, woah, hope every day that I dey by you

[Chorus: Tems]
You don't need no other body
You don't need no other body
Only you fi hold my body
Only you fi hold my body
You don't need no other body

You might also like
[Bridge: Tems & Wizkid]
Baby, baby, everybody used to say
No one loves you like this, no one wants you the same way
Love 'til the mornin', my head wan' to turn from your lovin'
I just wanna get you beside me (Woah, woah, woah, woah)
Gave you all you need, gave you all you need
Gave you all, you give me all you need, give you all you need, gave you all
Make ah give you all you need, every touch you need, give you all
Make ah give you all you need, baby, yeah-yeah, yeah-yeah

[Chorus: Tems & Wizkid]
You don't need no other body
You don't need no other body (Woah, woah, woah)
Only you fi hold my body
Only you fi hold my body (Yeah-yeah, yeah-yeah)
You don't need no other body

[Outro: Wizkid]
Baby girl, I want you there, girl I want you there
Promise to treat your love fair, woah-woah, woah-woah
When we touch, how we connect, woah-woah, woah-woah
Said this love, have no regret, woah-woah, yeah-yeah
2
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song parts like [Verse], [Chorus], etc.
Use italics (<i>lyric</i>) and bold (<b>lyric</b>) to distinguish between different vocalists in the same song part
If you don’t understand a lyric, use [?]
To learn more, check out our transcription guide or visit our transcribers forum
About
Have the inside scoop on this song?
Sign up and drop some knowledge
Start the son"
4,3tVQdUvClmAT7URs9V3rsp,"More Love, Less Ego",Wizkid,Bad To Me,https://i.scdn.co/image/ab67616d00001e0290e89e3afc4441bf36720a73,https://open.spotify.com/track/2HYcI74UpbMMxLZ1m7Xnfn,"[Verse 1]
Hiye, burst it my way
This kind of body don dey cause a migraine
And when we leave, we fit do am your way
Or if you want, we fit do am my way
Hiye, two shot I don take
You turn me on I no dey go I one dey
I no dey care, say the bad mind dem pree
Money on mi mind all day

[Pre-Chorus]
Lose my way, oh
This kind, this kind love, yeah
Wey dey make me want more, woah
Come my way, oh
This kind, this kind love, yeah
I dey want for the night
Make I know how you feel, how you want am

[Chorus]
Lady, girl, say your body bad to me
Pass make I choke, make I feel am, oh
Baby girl, you know as e be, oh
Yeah, we dey love till the morning
Bad girl addicted to me
Only you know as e dey do me
Only you know as e dey do me, oh-woah, girl

You might also like
[Post-Chorus]
Ee-ye, ge-ge (Ee-ye, ge-ge)
De-mah, ge-ge-ge-ge (Oh yeah, ge-ge)
Casamigos (Casamigos)
For my amigos (For my amigos)
Wa jogede (Wa jogede)
Baby, wa jogede (Wa jogede)
Ee-ye, ge-ge (Ee-ye ge-ge)
Kon she iyepe (Kon she iyepe)

[Verse 2]
All for you, baby
If that money dey too much say make you talk
'Cause you know the money long, ooh, yeah
Break your back with it
Girl, na me and you dey talk, no one involved
Baby girl, make I indulge you, yeah

[Pre-Chorus]
Lose my way, oh
This kind, this kind love, yeah
Wey dey make me want more, woah
Come my way, oh
This kind, this kind love, yeah
I dey want for the night
Make I know how you feel, how you want am?

[Chorus]
Lady, girl, say your body bad to me
Pass, make I choke, make I feel am, oh
Baby girl, you know as e be, oh
Yeah, we dey love till the morning
Bad girl addicted to me
Only you know as e dey do me
Only you know as e dey do me, oh-woah, girl

[Post-Chorus]
Ee-ye, ge-ge (Ee-ye, ge-ge)
De-mah, ge-ge-ge-ge (Oh yeah, ge-ge)
Casamigos (Casamigos)
For my amigos (For my amigos)
Wa jogede (Wa jogede)
Baby, wa jogede (Wa jogede)
Ee-ye, ge-ge (Ee-ye, ge-ge)
Kon she iyepe (Kon she iyepe), okay
1
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song parts like [Verse], [Chorus], etc.
Use italics (<i>lyric</i>) and bold (<b>lyric</b>) to distinguish between different vocalists in the same song part
If you don’t understand a lyric, use [?]
To learn more, check out our transcription guide or visit our transcribers forum
About
This song bio is unreviewed
Genius Annotation1 contributor
The lead single from More Love, Less Ego Album ( soon to be released) . In this song, Wizkid is mesmerized by a woman’s body, which has him spellbound. As a further assurance of his support for her and as a means of courtship, he spends money on his pals.
Expand
+10
Share
Ask us a question about this song
Ask a question *‌
More Love, Less Ego ("
5,3tVQdUvClmAT7URs9V3rsp,"More Love, Less Ego",Wizkid,Wow (feat. Skepta & Naira Marley),https://i.scdn.co/image/ab67616d0000485190e89e3afc4441bf36720a73,https://open.spotify.com/track/0Z5HVNSXGXHf7MDb0zJHVW,"[Chorus: Naira Marley]
Melo, melo mo fę so
Oru mumi, mo se boso
When I saw you inna bumbum short
Loję kin fę try my luck
Try my luck, make I dey chop your work
If we knack, you won't want to stop
Come on top, should I come on top?
When I gave her her top, she didn't wanna go

[Verse 1: Wizkid]
I know
Your body bump pass Claro
Girl, no dey play my loving like so
Girl, I wan go where you wan go
And I go tell you things wey you wan know
I hope you know say the bumbum nice and I wan hold you tight
You gat the sweetest vibe (Brr, brr)

[Verse 2: Skepta]
Yeah
Starboy ting, bet you never seen a man like me, bet you never seen a gang like this
Fashion week at arise, GQ top five and I never came with a stylist
Bettеr hold your girlfriend tight, 'cause the mеnz inside
Matter dey ground, It's a crisis
She text me and ask me if everything fine, I said ""Yes mama, I'm the finest"" (Yes, mama)
She makes me cool and relaxed
That's not cap, baby, that's just facts
Front so juicy, the back so fat
Even if I leave, I gotta try, I must come back (Must)
She got her mind right and she got her money right
It's only right that I introduce her to the cartel
And I told her ""After you, it's you, ain't no replacement for the Stargirl""

[Chorus: Naira Marley]
Melo, melo mo fę so
Oru mumi, mo se boso
When I saw you inna bumbum short
Loję kin fę try my luck
Try my luck, make I dey chop your work
If we knack, you won't want to stop
Come on top, should I come on top?
When I gave her her top, she didn't wanna go

[Verse 3: Wizkid]
Call me daddy oh
Whine am for me oh
Love a bad boy like me oh
Diamonds on me oh
With omo to she'di oh
Calling her fatty oh
Looking for me oh
Dem looking for me oh
They with the money oh
Bad man no like stress
Baby steady bend down pause
Steady giving you all the feelings wey you ask, yeah
[?] Me and you pronto, kroto
And anything wey you want I swear e no phase me (Yeah-yeah, yeah-yeah)
Oh yeah, make you choose what you want
Money no phase me
The way you whine omoge I swear, gat me lazy (I swear down)
Make me feel I'm crazy

You might also like
[Chorus: Naira Marley]
Melo, melo mo fę so
Oru mumi, mo se boso
When I saw you inna bumbum short
Loję kin fę try my luck
Try my luck, make I dey chop your work
If we knack, you won't want to stop
Come on top, should I come on top?
When I gave her her top, she didn't wanna go

[Verse 4: Naira Marley]
Back, your back ah
This back make me turn Badmos
She say she got a man but the punna man knows I'm the man, ah
Ass fat, she bad
Tan'ba somi, mo maja
I'm gon' give her back to back
That pussy feels new all the time

[Outro]
Yeah-yeah-yeah
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song"
6,3tVQdUvClmAT7URs9V3rsp,Made In Lagos: Deluxe Edition,Wizkid,Mood (feat. BNXN),https://i.scdn.co/image/ab67616d0000b273a19e09374ed73aabb6546bb5,https://open.spotify.com/track/6jdTkoEaer7XNGSblczoSu,"[Intro: Buju]
Mmm-mmm
Wey come cooli my body, eh eh

[Chorus: Buju]
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
Make we go dey sempe
Pour some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Naa you dey cool my stress, oh yeah
Make we go dey sempe
But some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Na you dey cool my stress, oh yeah

[Verse 1: Wizkid]
I’m in the big mood
Girl I dey feel you
I know say your love cost pass money but I still want you
I’m in the big mood
Girl I dey want you
Na only you wey fit cooli my body nobody but you

[Pre-Chorus: Wizkid]
Every night I go dey rock your body o
Baby girl we go dey no solo o
Nobody fit tell me to leave my baby o
Bend every night e fit turn to baby o
Me and you when you wake up, girl you splashing on me o
Girl look like sweat all on me o
Like the design you be dripping on me o
Maybe that's why I no fit leave yeah

[Chorus: Buju]
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
Make we go dey sempe
Pour some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Na you dey cool my stress, oh yeah
Make we go dey sempe
But some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Na you dey cool my stress, oh yeah

You might also like
[Verse 2: Wizkid]
Baby baby girl you know
When the money don dey shey show say na starboy, big wiz, big daddy enter the show
We no dey mind person omo we just come here mind our own
A gbomo wa but a ma gbomo lo
Omo like 20 standard yo
We no dey mind person
We never kill person o

[Pre-Chorus: Wizkid]
Every night I go dey rock your body o
Baby girl we go dey no solo o
Nobody fit tell me to leave my baby o
Bend every night e fit turn to baby o
Me and you when you wake up, girl you splashing on me o
Girl look like sweat all on me o
Like the design you be dripping on me o
Maybe that's why I no fit leave yeah

[Chorus: Buju]
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
I’m in the big mood
Girl I dey feel you
Something wey come cooli my body tell me will you do
Make we go dey sempe
Pour some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Na you dey cool my stress, oh yeah
Make we go dey sempe
But some liquor dey do me jeje
Get somethings wey dey bother my head, I swear
Na you dey cool my stress, oh yeah
1
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section "
7,3tVQdUvClmAT7URs9V3rsp,Made In Lagos,Wizkid,Ginger (feat. Burna Boy),https://i.scdn.co/image/ab67616d00001e02a19e09374ed73aabb6546bb5,https://open.spotify.com/track/51mLQ3w7yR7vjdSTFLWaY5,"[Chorus: Burna Boy & Wizkid]
If you want make I ginger give me the kokoro
Ma ko je bi jollof
Anywhere I go
Je kan mo pe mo ma gbomo lo
No dey do like bolo
If you want make I ginger give me the kokoro
Ma ba o je bi jollof
Come make I
Come make I show you my kponono
No dey do like bolo
Oh yeah

[Verse 1: Wizkid]
Yeah yeah
Make I touch your body
Make I rub, make I love, make I rub
Make I touch up pon it
Make I rub around it
Say like a lotion
Imma rub imma rub
Imma rub upon it
Like fine wine, say you sweet when you whine it
Me I no fit leavе when you whine it
As long as you we go dеy
Omo na me go pay
(Yeah)

[Pre-Chorus]
We go dey, We go dey
We go dey nice
If we enter the place I go dey nice
I go freaky freaky freaky
I go rewind
Say na me go be the DJ
Omo feel nice ooo
Say my party no dey stop til the daylight
Before you run go dey shayo
Make you think twice
If na smoke you wan smoke say we dey tight
Omo ma lo go
Say we live nice
Yeah yeah

You might also like
[Chorus: Burna Boy & Wizkid]
If you want make i ginger give me the kokoro
Ma ko je bi jollof
Anywhere I go
Je kan mo pe mo ma gbomo lo
No dey do like bolo
If you want make I ginger give me the kokoro
Ma ba'e je bi jollof
Come make I
Come make I show you my kponono
No dey do like bolo
Oh yeah yeah
[Burna Boy]
O ye ke da mo

[Verse 2: Wizkid]
I be making money
Living reckless
La le yi ema damo
Iwo ni kan ni ololufe mi
Omo wa ja lo (Ja lo)
If them try oo
If them try talk
Them go so na
Them go go down

[Pre-Chorus]
We go dey, We go dey
We go dey nice
If we enter the place I go dey nice
I go freaky freaky freaky
I go rewind
Say na me go be the DJ
Omo feel nice ooo
Say my party no dey stop til the daylight
Before you run go dey shayo
Make you think twice
If na smoke you wan smoke say we dey tight
Omo ma lo go
Say we live nice
Yeah yeah

[Chorus: Burna Boy & Wizkid]
If you want make I ginger give me the kokoro
Ma ko je bi jollof
Anywhere I go
Je kan mo pe mo ma gbomo lo
No dey do like bolo
If you want make I ginger give me the kokoro
Ma ba'e je bi jollof
Come make I
Come make I show you my kponono
No dey do like bolo
Oh yeah yeah

[Outro: Burna Boy]
If you want make I ginger
Give me the kokoro
Ma ko je bi ogbono
Ma bo je bi jollof
Tell me what I cannot do for your love
Olopa go carry all of us
If they carried deuces
I no wan talk
I no go responsible if you injure
Cos you know your vibes just dey give me ginger
I go make you whine when I put in yuh
If you know my style
I dey see the future
I no be babalawo me I just be singer
4
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song parts like [Verse], [Chorus], etc.
Use italics (<i>lyric</i>) and bold (<b>lyric</b>) to dist"
8,3tVQdUvClmAT7URs9V3rsp,We're All Alone In This Together,Wizkid,System (feat. WizKid),https://i.scdn.co/image/ab67616d00004851a19e09374ed73aabb6546bb5,https://open.spotify.com/track/5gOtq0sKU24ZF8hnXlSp1V,[]
9,3tVQdUvClmAT7URs9V3rsp,Made In Lagos: Deluxe Edition,Wizkid,Essence (feat. Justin Bieber & Tems),https://i.scdn.co/image/ab67616d0000b273e944c571fca9ea470ebb5821,https://open.spotify.com/track/1MZtr7IH5qtjIkqrXj8WOJ,"[Intro: Wizkid]
Oh-na-na, omo je ka shi ge ge, woah
Oh-na-na, omo ge wa j'ogede
Oh-na-na, girl, I no go let you go
Oh-na-na, omo je ka shi ge ge, woah

[Verse 1: Tems]
Say I wanna leave you in the mornin', but I need you now, yeah, yeah
I find you, I give you all you're needing, I know you what you like
I feel it comin', time is of the essence
I tried to teach you, but I need some lessons
I need to give it all, I tried to leave, but I can't
I don't know why you're the one, turn me out of my mind

[Chorus: Tems]
You don't need no other body
You don't need no other body
Only you fi hold my body
Only you fi hold my body
You don't need no other body

[Verse 2: Wizkid]
Say na me dey mess up your mind
And na me dey make you free up your mind
Say your body talk to me nice
Say na my love, you dey need for your life
Yeah our love no be lie
See yeah we dey together yeah day and night
Yeah if I leave you go kpai
Yeah if you leave I go kpai (Oh, oh woah)
I'm stroking your body, baby, loving your body, baby
As you're whinin' your body, baby, so crazy
Lovin' your body, baby, gyal iwo ni temi
I just wanna let you know, oh, woah, hope every day that I dey by you

[Chorus: Tems]
You don't need no other body
You don't need no other body
Only you fi hold my body
Only you fi hold my body
You don't need no other body

You might also like
[Bridge: Tems & Wizkid]
Baby, baby, everybody used to say
No one loves you like this, no one wants you the same way
Love 'til the mornin', my head wan' to turn from your lovin'
I just wanna get you beside me (Woah, woah, woah, woah)
Gave you all you need, gave you all you need
Gave you all, you give me all you need, give you all you need, gave you all
Make ah give you all you need, every touch you need, give you all
Make ah give you all you need, baby, yeah-yeah, yeah-yeah

[Chorus: Tems & Wizkid]
You don't need no other body
You don't need no other body (Woah, woah, woah)
Only you fi hold my body
Only you fi hold my body (Yeah-yeah, yeah-yeah)
You don't need no other body

[Outro: Wizkid]
Baby girl, I want you there, girl I want you there
Promise to treat your love fair, woah-woah, woah-woah
When we touch, how we connect, woah-woah, woah-woah
Said this love, have no regret, woah-woah, yeah-yeah
2
Embed
Cancel
How to Format Lyrics:
Type out all lyrics, even repeating song parts like the chorus
Lyrics should be broken down into individual lines
Use section headers above different song parts like [Verse], [Chorus], etc.
Use italics (<i>lyric</i>) and bold (<b>lyric</b>) to distinguish between different vocalists in the same song part
If you don’t understand a lyric, use [?]
To learn more, check out our transcription guide or visit our transcribers forum
About
Have the inside scoop on this song?
Sign up and drop some knowledge
Start the son"
10,0Y3agQaa6g2r0YmHPOO9rh,Hayya Hayya (Better Together) [Music from FIFA World Cup Qatar 2022 Soundtrack],Davido,Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack,https://i.scdn.co/image/ab67616d00001e02e944c571fca9ea470ebb5821,https://open.spotify.com/track/7vAJiDFrFtMYVOrZbOw7jj,[]
11,0Y3agQaa6g2r0YmHPOO9rh,Electricity,Davido,Electricity,https://i.scdn.co/image/ab67616d00004851e944c571fca9ea470ebb5821,https://open.spotify.com/track/6McBvfxgkVfREmQPwTKBUn,[]
